date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_12_normalized,smart_183_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_189_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_197_normalized,smart_198_normalized
2019-04-28,S3000A9T,ST4000DM000,4000787030016,0,118.0,92.0,100.0,100.0,85.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,29.0,24.0,100.0,100.0
2019-08-09,S3000QAP,ST4000DM000,4000787030016,0,119.0,92.0,100.0,100.0,84.0,57.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,1.0,28.0,100.0,100.0
2019-12-31,S3001HBH,ST4000DM000,4000787030016,0,120.0,91.0,100.0,100.0,80.0,58.0,100.0,98.0,100.0,100.0,100.0,100.0,72.0,95.0,28.0,100.0,100.0
2019-12-31,S3003TK3,ST4000DM000,4000787030016,0,119.0,98.0,100.0,100.0,79.0,56.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,76.0,27.0,100.0,100.0
2019-12-31,S3003W81,ST4000DM000,4000787030016,0,114.0,92.0,100.0,100.0,89.0,54.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,93.0,16.0,100.0,100.0
2019-12-31,S3004E7J,ST4000DM000,4000787030016,0,119.0,92.0,100.0,100.0,87.0,58.0,100.0,98.0,100.0,100.0,100.0,100.0,84.0,93.0,16.0,100.0,100.0
2019-03-23,S3004GY7,ST4000DM000,4000787030016,0,116.0,92.0,100.0,100.0,78.0,62.0,100.0,100.0,100.0,98.0,100.0,100.0,71.0,88.0,29.0,100.0,100.0
2019-12-31,S3004L7F,ST4000DM000,4000787030016,0,118.0,92.0,100.0,100.0,83.0,58.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,94.0,18.0,100.0,100.0
2019-03-22,S3005CJW,ST4000DM000,4000787030016,0,120.0,91.0,100.0,100.0,88.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,86.0,30.0,100.0,100.0
2019-01-29,S3005PLS,ST4000DM000,4000787030016,0,119.0,91.0,100.0,100.0,77.0,64.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,92.0,26.0,100.0,100.0
