date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_196_normalized,smart_197_normalized,smart_199_normalized
2019-01-13,PL1331LAGLWWKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,214.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLWWYH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLWXMH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLWZWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,138.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLWZXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,152.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLX0TH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,176.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLX1NH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLX1YH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLX2TH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,214.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLX60H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLX6SH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,162.0,100.0,100.0,200.0
