date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized
2019-12-31,ZA11AVFT,ST8000DM002,8001563222016,0,77.0,91.0,100.0,100.0,78.0,66.0,100.0,100.0,100.0,63.0,95.0,84.0,37.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AVG7,ST8000DM002,8001563222016,0,76.0,95.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,71.0,88.0,86.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AVH2,ST8000DM002,8001563222016,0,83.0,92.0,100.0,100.0,90.0,65.0,100.0,100.0,100.0,75.0,62.0,95.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AVHZ,ST8000DM002,8001563222016,0,83.0,97.0,100.0,100.0,90.0,65.0,100.0,100.0,100.0,75.0,96.0,95.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AXC3,ST8000DM002,8001563222016,0,84.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,72.0,85.0,88.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AXC6,ST8000DM002,8001563222016,0,83.0,85.0,100.0,100.0,96.0,66.0,100.0,100.0,100.0,62.0,54.0,86.0,38.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AXC9,ST8000DM002,8001563222016,0,83.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,76.0,71.0,86.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AXX3,ST8000DM002,8001563222016,0,79.0,98.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,95.0,94.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11AZ8W,ST8000DM002,8001563222016,0,74.0,96.0,100.0,100.0,88.0,65.0,100.0,98.0,100.0,65.0,96.0,95.0,35.0,23.0,100.0,100.0,200.0
2019-12-31,ZA11B1WS,ST8000DM002,8001563222016,0,83.0,92.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,68.0,4.0,96.0,32.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11B1YX,ST8000DM002,8001563222016,0,83.0,88.0,100.0,100.0,96.0,66.0,100.0,100.0,100.0,63.0,94.0,83.0,37.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBHN,ST8000DM002,8001563222016,0,73.0,84.0,100.0,100.0,86.0,66.0,100.0,100.0,100.0,65.0,95.0,86.0,35.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBKB,ST8000DM002,8001563222016,0,77.0,93.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,69.0,68.0,85.0,31.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBLF,ST8000DM002,8001563222016,0,83.0,96.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,71.0,92.0,86.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBP2,ST8000DM002,8001563222016,0,67.0,94.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,88.0,86.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBR3,ST8000DM002,8001563222016,0,83.0,97.0,100.0,100.0,91.0,66.0,100.0,100.0,100.0,77.0,93.0,95.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA11BBTV,ST8000DM002,8001563222016,0,78.0,97.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,72.0,96.0,88.0,28.0,1.0,100.0,100.0,200.0
