date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA174H87,ST8000NM0055,8001563222016,0,78.0,92.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,58.0,1.0,97.0,42.0,78.0,100.0,100.0
2019-12-31,ZA174H8L,ST8000NM0055,8001563222016,0,84.0,96.0,100.0,100.0,90.0,76.0,100.0,100.0,100.0,68.0,86.0,96.0,32.0,84.0,100.0,100.0
2019-12-31,ZA174H8V,ST8000NM0055,8001563222016,0,79.0,95.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,70.0,93.0,97.0,30.0,79.0,100.0,100.0
2019-12-31,ZA174H9A,ST8000NM0055,8001563222016,0,76.0,92.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,96.0,96.0,34.0,76.0,100.0,100.0
2019-12-31,ZA174HAA,ST8000NM0055,8001563222016,0,82.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,63.0,98.0,96.0,37.0,82.0,100.0,100.0
2019-12-31,ZA174HAG,ST8000NM0055,8001563222016,0,77.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,68.0,81.0,95.0,32.0,77.0,100.0,100.0
2019-12-31,ZA174HAH,ST8000NM0055,8001563222016,0,82.0,89.0,99.0,100.0,92.0,95.0,100.0,100.0,100.0,74.0,96.0,99.0,26.0,82.0,100.0,100.0
2019-12-31,ZA174J93,ST8000NM0055,8001563222016,0,74.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,61.0,85.0,95.0,39.0,74.0,100.0,100.0
2019-12-31,ZA174JV9,ST8000NM0055,8001563222016,0,84.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,62.0,98.0,95.0,38.0,84.0,100.0,100.0
2019-12-31,ZA174JW8,ST8000NM0055,8001563222016,0,81.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,60.0,96.0,96.0,40.0,81.0,100.0,100.0
