date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2019-12-31,ZA139GKH,ST8000NM0055,8001563222016,0,86749640.0,3.0,0.0,1662995560.0,22609.0,3.0,0.0,0.0,0.0,33.0,52647.0,0.0,32825.0,33.0,86749640.0,0.0,0.0,0.0,22596.0,60288209176.0,151857370338.0
2019-12-31,ZA139GKN,ST8000NM0055,8001563222016,0,44060152.0,8.0,0.0,1442032075.0,22603.0,8.0,0.0,0.0,0.0,32.0,11456.0,0.0,31665.0,32.0,44060152.0,0.0,0.0,0.0,22591.0,58840250736.0,163449455762.0
2019-12-31,ZA139GKX,ST8000NM0055,8001563222016,0,38538016.0,2.0,0.0,1317562517.0,22269.0,2.0,0.0,0.0,0.0,23.0,11344.0,0.0,30425.0,23.0,38538016.0,0.0,0.0,0.0,22227.0,58031264832.0,180543504730.0
2019-12-31,ZA139GKZ,ST8000NM0055,8001563222016,0,226401296.0,4.0,0.0,1202363925.0,22262.0,4.0,0.0,0.0,0.0,32.0,13545.0,0.0,26280.0,32.0,226401296.0,0.0,0.0,0.0,22223.0,57876834736.0,178842927526.0
2019-12-31,ZA139GL4,ST8000NM0055,8001563222016,0,146822144.0,5.0,0.0,1134824739.0,22598.0,5.0,0.0,0.0,0.0,30.0,14567.0,1.0,27167.0,30.0,146822144.0,0.0,0.0,0.0,22587.0,59634323176.0,157330032562.0
2019-12-31,ZA139GL9,ST8000NM0055,8001563222016,0,116700856.0,2.0,0.0,1527502468.0,22272.0,2.0,0.0,0.0,0.0,27.0,10432.0,0.0,33078.0,27.0,116700856.0,0.0,0.0,0.0,22230.0,57094530016.0,168571660714.0
2019-12-31,ZA139GLN,ST8000NM0055,8001563222016,0,137793280.0,7.0,0.0,1370426166.0,22601.0,7.0,0.0,0.0,0.0,34.0,8862.0,0.0,29805.0,34.0,137793280.0,0.0,0.0,0.0,22583.0,59553874992.0,156307186136.0
2019-12-31,ZA139GLQ,ST8000NM0055,8001563222016,0,207401144.0,7.0,0.0,1592377868.0,22604.0,7.0,0.0,0.0,0.0,38.0,9116.0,0.0,33989.0,38.0,207401144.0,0.0,0.0,0.0,22581.0,57993199576.0,161659122822.0
2019-12-31,ZA139GLR,ST8000NM0055,8001563222016,0,150493216.0,4.0,0.0,1694035689.0,22272.0,4.0,0.0,0.0,0.0,26.0,7903.0,0.0,32795.0,26.0,150493216.0,0.0,0.0,0.0,22229.0,58467892504.0,152343822014.0
2019-12-31,ZA139GLT,ST8000NM0055,8001563222016,0,141385120.0,8.0,0.0,1558576066.0,22604.0,8.0,0.0,0.0,0.0,32.0,6434.0,0.0,32309.0,32.0,141385120.0,0.0,0.0,0.0,22592.0,58987674728.0,162689442514.0
